isbn,main author
9780679763970,Louis de Bernières
9781423100034,Ally Carter 
9780986437434,Kyle Keyes
9780440221661,Diana Gabaldon 
9780679772873,Thomas Mann
9780385729338,Ann Brashares
9780744583274,E.L. Konigsburg
9781933372600,Muriel Barbery
9780375508325,Carl Sagan
9780394758282,Raymond Chandler
9781478392675,Kyle Keyes
9780446676076,Nicholas Sparks 
B0117K9N3Q,Leigh Bardugo 
9780805066692,Dee Brown
9780399256769,Marie Lu 
9780385418867,Joseph Campbell
9781416914297,Cassandra Clare 
9781400034772,Alexander McCall Smith 
9780380017607,Erich Segal
9780451219947,Rachel Caine 
9780760728505,Jules Verne
9780440241416,Sophie Kinsella 
9780451412355,J.R. Ward 
9780553384284,Dean Koontz 
9781480095533,J.A. Redmerski 
9780140436587,Walter Scott
9781250135025,Rainbow Rowell 
9781599900735,Shannon Hale 
9780061234002,Steven D. Levitt
9780312577223,Kristin Hannah 
9780765342409,Orson Scott Card
9780679729525,Virgil
9780062085535,Tahereh Mafi
9780141439587,Jane Austen
9780060739492,Sharon Creech
9780140169300,Wallace Stegner
9780451225856,J.R. Ward 
9780517222850,Rosamunde Pilcher
9781841156736,Jonathan Franzen
9780452287068,Toni Morrison
9780452281257,Ayn Rand
9781439148501,Stephen King 
9781841493008,Charlaine Harris 
9781594200823,Michael Pollan 
9780060892999,Walter M. Miller Jr.
9780451529756,Rudyard Kipling
9780140286809,Jorge Luis Borges
9780340896969,David Nicholls
9780553213874,Helen Keller
9780380729401,Ray Bradbury
9780545123280,Maggie Stiefvater 
9780375713347,Katherine Dunn
9780141439631,Henry James
9780763616052,Kate DiCamillo 
9781400031047,Chaim Potok
9781400033423,Toni Morrison
9780486452432,Thomas Hardy
9780345539786,Pierce Brown 
9780743477109,William Shakespeare
9780618485222,Jhumpa Lahiri
9780385738774,James Dashner 
9781984295293,E.M. Forster
9781594633669,Paula Hawkins 
9780802130303,Jorge Luis Borges
9780786851973,Ned Vizzini
9780803734616,Kristin Cashore
9780553119220,Agatha Christie
9780060855925,Terry Pratchett
9780765316899,Brandon Sanderson 
9780986076008,Steve Snyder 
9780812969900,Johann Wolfgang von Goethe
9780595440092,Lisa Genova 
9780340837948,Robert A. Heinlein
9780385720922,Chuck Palahniuk 
9781569317785,Koushun Takami
9780671037703,Ray Bradbury
9780152058104,P.L. Travers
9781442426672,Becca Fitzpatrick 
9780061662768,Kelley Armstrong 
9780394724553,Anne Morrow Lindbergh
9780413757104,Richard Yates
9780525476887,John Green 
9781580493888,Sophocles
9780439813785,Brian Selznick
9780062255655,Neil Gaiman 
9780552152976,Terry Pratchett
9780684801544,F. Scott Fitzgerald
B003K15II0,Olive Ann Burns
9780811201889,Jean-Paul Sartre
9780345504968,Justin Cronin 
9781841497129,Kelley Armstrong 
9780441783588,Robert A. Heinlein
9780805005011,Robert Frost
