,0,1,2,3,4,5,6
Amanda Prowse,n,o,n,e,,,
Darcy Woods ,n,o,n,e,,,
Joshua Khan ,n,o,n,e,,,
Sam Argent,n,o,n,e,,,
Scott Snyder ,New York City, New York, United States,,,,
Loree Lough ,n,o,n,e,,,
Riley Hart ,n,o,n,e,,,
Sarah Wilson ,n,o,n,e,,,
Alexandra Potter ,n,o,n,e,,,
Mary Beard,n,o,n,e,,,
James Newman ,n,o,n,e,,,
Ruth Emmie Lang ,n,o,n,e,,,
Miguel Serrano,Miguel Joaquín Diego del Carmen Serrano Fernández(1917-09-10)10 September 1917Santiago, Chile,,,,,
Andrea Molesini, (1954-12-28) 28 December 1954 (age 67)Venice, Italy,,,,,
Mira T. Lee ,n,o,n,e,,,
Akira Himekawa,n,o,n,e,,,
Lara Avery,n,o,n,e,,,
Robert J. Crane,n,o,n,e,,,
Geoff Johns ,Geoffrey Johns[1] (1973-01-25) January 25, 1973 (age 49)Detroit, Michigan, U.S.,,,
Jim McDoniel ,n,o,n,e,,,
Paul Dowswell,n,o,n,e,,,
Cathy Malkasian,n,o,n,e,,,
J.R.R. Tolkien,John Ronald Reuel Tolkien(1892-01-03)3 January 1892Bloemfontein, Orange Free State,,,,,
M.A. Bennett,n,o,n,e,,,
Ryan North , (1980-10-20) October 20, 1980 (age 42)Ottawa, Ontario, Canada,,,
Meera Subramanian,n,o,n,e,,,
Takatsu ,n,o,n,e,,,
Karen Bao ,n,o,n,e,,,
Sarah Maine ,n,o,n,e,,,
L. James Rice ,n,o,n,e,,,
Cathy Gohlke ,n,o,n,e,,,
Audre Lorde,Audrey Geraldine Lorde(1934-02-18)February 18, 1934[1]New York City, U.S.,,,,
Leslye Walton ,n,o,n,e,,,
Georgia Dunn ,n,o,n,e,,,
Scarlett Dawn ,n,o,n,e,,,
François S. Clemmons,n,o,n,e,,,
Joshua Whitehead,5 January 1989  (age 33),,,,,,
Larry D. Thompson ,George W. Bush,,,,,,
Jaroslav Kalfar ,n,o,n,e,,,
Mac Barnett,Castro Valley, California, United States,,,,
Allayne L. Webster ,n,o,n,e,,,
Jim Pascoe ,n,o,n,e,,,
Michael Bond,Thomas Michael Bond(1926-01-13)13 January 1926Newbury, Berkshire, England,,,,
Sonya Sones ,Boston, Massachusetts,,,,,
Harley A. Rotbart,n,o,n,e,,,
Petra Durst-Benning,n,o,n,e,,,
Christina Dodd ,July 14, ?,,,,,
Jason Matthews,n,o,n,e,,,
Lilly Gayle ,n,o,n,e,,,
Sawyer Bennett ,n,o,n,e,,,
Carole Cummings ,n,o,n,e,,,
Sky Shifter ,n,o,n,e,,,
Katie Cotugno ,n,o,n,e,,,
Alyxandra Harvey ,n,o,n,e,,,
Harpie,Legendary creature,,,,,,
Violet's Vegan Comics,n,o,n,e,,,
Ijeoma Umebinyuo ,n,o,n,e,,,
Danielle Steel,Danielle Fernandes Dominique Schuelein-Steel (1947-08-14) August 14, 1947 (age 75)New York City, U.S.,,,,
Samantha Hayes ,Samantha Hayes (1984-04-25) 25 April 1984 (age 38)Pietermaritzburg, South Africa,,,,,
Rachel Renée Russell , (1959-04-13) April 13, 1959 (age 63),,,,,
Carey Corp ,n,o,n,e,,,
Ben Lindbergh ,n,o,n,e,,,
Jim Zub ,Comic book writer,,,,,,
Devon C. Ford ,n,o,n,e,,,
Anthony Horowitz , (1955-04-05) 5 April 1955 (age 67)[1]Stanmore, Middlesex, England,,,,
Justin Cronin ,1962 (age 59–60)New England, United States,,,,,
Gavin Hesketh,n,o,n,e,,,
J.S. Scott ,n,o,n,e,,,
Tessa Dare ,Tessa Dare,,,,,,
Jeff VanderMeer ,July 7, 1968 (1968-07-07) (age 54)Bellefonte, Pennsylvania, U.S.,,,
Logan Chance ,n,o,n,e,,,
Claudie Arseneault ,n,o,n,e,,,
Scott Cawthon,Scott Braden Cawthon (1978-06-04) June 4, 1978 (age 44)Houston, Texas, U.S.,,,
Sarah Bakewell,1963Bournemouth, England,,,,,
Anita Valle ,n,o,n,e,,,
Wayne Clark ,n,o,n,e,,,
David Demchuk ,n,o,n,e,,,
John L. Parker Jr.,Writer,,,,,,
Christopher Hastings ,n,o,n,e,,,
Elizabeth Knox , (1959-02-15) 15 February 1959 (age 63)Wellington, New Zealand,,,,,
Kerry Drewery ,n,o,n,e,,,
Rachel Kadish ,Novelist, short story writer,,,,,
Nikesh Shukla , (1980-07-08) 8 July 1980 (age 42)Harrow, London, England,,,,
William Kent Krueger , (1950-11-16) November 16, 1950 (age 72)Torrington, Wyoming, U.S.,,,
Peter Newman ,n,o,n,e,,,
Christopher Lentz ,n,o,n,e,,,
Micol Ostow , (1976-04-29) April 29, 1976 (age 46)New York City,,,,,
Lynn Casteel Harper,n,o,n,e,,,
Nicki Pau Preto ,n,o,n,e,,,
Jill Murphy,(1949-07-05)5 July 1949London, England,,,,,
Jack Cheng ,n,o,n,e,,,
Dorian Lynskey,n,o,n,e,,,
Josephine Angelini ,1975Ashland, Massachusetts, United States,,,,
Danielle Lori ,n,o,n,e,,,
Saladin Ahmed , (1975-10-04) October 4, 1975 (age 47)Detroit, Michigan, U.S.,,,
Nova Weetman,n,o,n,e,,,
Suzanne Redfearn ,n,o,n,e,,,
Kathryn Springer ,n,o,n,e,,,
GabRivera,n,o,n,e,,,
Craig Davidson,1975Toronto, Ontario, Canada,,,,
Tilar J. Mazzeo,n,o,n,e,,,
Rachel Lynn Solomon ,n,o,n,e,,,
Aiden Thomas ,American,,,,,,
Brae Wyckoff ,n,o,n,e,,,
Mary Behre ,n,o,n,e,,,
C.E. Thornton ,n,o,n,e,,,
Stephen Crane,(1871-11-01)November 1, 1871Newark, New Jersey, U.S.,,,
Richard Botelho ,n,o,n,e,,,
Debbi Mack ,n,o,n,e,,,
Siobhan Davis ,n,o,n,e,,,
Emerald Fennell,Emerald Lilly Fennell (1985-10-01) 1 October 1985 (age 37)Hammersmith, London, England,,,,
Luz Calvo,n,o,n,e,,,
R.L. Stine ,Robert Lawrence Stine (1943-10-08) October 8, 1943 (age 79)Columbus, Ohio, U.S.,,,
Ryan Gattis ,n,o,n,e,,,
Julie Anne Long ,n,o,n,e,,,
Jake Halpern,Buffalo ,,,,,,
Jeremy Scott , (1975-08-08) August 8, 1975 (age 47)Kansas City, Missouri, U.S.,,,
A.H. Holt,n,o,n,e,,,
Sigmund Freud,Sigismund Schlomo Freud(1856-05-06)6 May 1856Freiberg in Mähren, Moravia, Austrian Empire,,,,
Christopher G. Nuttall ,n,o,n,e,,,
Charlie N. Holmberg ,Charlie Nicholes HolmbergApril 4, 1988 (1988-04-04) (age 34)Salt Lake City, Utah, U.S.,,,
David Brooks,n,o,n,e,,,
Henry H. Neff ,n,o,n,e,,,
Riley Redgate ,Ríoghnach Robinson,,,,,,
Stephanie Morrill ,n,o,n,e,,,
Eimear McBride,n,o,n,e,,,
Jenna Bush Hager ,Jenna Welch Bush (1981-11-25) November 25, 1981 (age 41)Dallas, Texas, U.S.,,,
Sarah Prager ,n,o,n,e,,,
L.H. Cosway ,n,o,n,e,,,
Paulette Jiles ,n,o,n,e,,,
Kara Thomas, (1990-03-21) March 21, 1990 (age 32),,,,,
Camille Pagán ,n,o,n,e,,,
Kate Mascarenhas,n,o,n,e,,,
Kate Riordan ,n,o,n,e,,,
Louise Pentland,Louise Alexandra Pentland (1985-04-28) 28 April 1985 (age 37)[1]Northampton, England,,,,,
Kelly Rimmer ,n,o,n,e,,,
Chelsea Bieker ,n,o,n,e,,,
Fiona Alison Duncan ,n,o,n,e,,,
Jennifer Brown,n,o,n,e,,,
Scott Reintgen ,n,o,n,e,,,
C.J. Omololu ,n,o,n,e,,,
J.A. White ,n,o,n,e,,,
Megan Goldin ,n,o,n,e,,,
Misty Copeland,Misty Danielle Copeland (1982-09-10) September 10, 1982 (age 40)Kansas City, Missouri, U.S.,,,
Stylo Fantome ,n,o,n,e,,,
Hena Khan ,n,o,n,e,,,
Jasmine Guillory ,n,o,n,e,,,
Robin Brande ,n,o,n,e,,,
Lisa Shearin ,n,o,n,e,,,
M.R. James,Montague Rhodes James(1862-08-01)1 August 1862Goodnestone, Kent, England,,,,
Rebecca Zanetti ,USA,,,,,,
Joseph Delaney ,Joseph Henry Delaney(1945-07-25)25 July 1945Preston, Lancashire, England,,,,
John Stephens,n,o,n,e,,,
Shanora Williams ,n,o,n,e,,,
William Ritter ,n,o,n,e,,,
Moïra Fowley-Doyle,n,o,n,e,,,
A.N. Willis ,n,o,n,e,,,
Clarissa Wild ,n,o,n,e,,,
Elvis Newman,n,o,n,e,,,
Stephanie Kegan ,n,o,n,e,,,
Sibéal Pounder,n,o,n,e,,,
Keri Smith ,Canadian,,,,,,
Cinda Williams Chima ,1952 (age 69–70)Springfield, Ohio,,,,,
Deborah Harkness ,Philadelphia, Pennsylvania,,,,,
Jean McNeil,n,o,n,e,,,
Erin Entrada Kelly ,Hays, KS,,,,,
Jon Butterworth ,Jonathan Mark Butterworth1967/1968 (age 54–55)[1],,,,,,
Ivy Rose,n,o,n,e,,,
Liz Moore,(1944-09-15)15 September 1944,,,,,,
Nicole Williams ,n,o,n,e,,,
Stephanie Elliot ,n,o,n,e,,,
Sarah Knight ,(1666-04-19)April 19, 1666Boston, Massachusetts Bay Colony, British America,,,
Jordan Castillo Price ,n,o,n,e,,,
Jonathan Janz ,n,o,n,e,,,
Jen L. Grey ,n,o,n,e,,,
Jordan Bone,Point guard,,,,,,
Nancy Herkness ,n,o,n,e,,,
Katherine Hayton,n,o,n,e,,,
Anne Blankman ,n,o,n,e,,,
Mary-Louise Parker, (1964-08-02) August 2, 1964 (age 58)Columbia, South Carolina, U.S.,,,
Jillian Tamaki, (1980-04-17) April 17, 1980 (age 42)Ottawa, Ontario,,,,
Rene Denfeld ,n,o,n,e,,,
Jennifer Estep ,n,o,n,e,,,
Karan Mahajan , (1984-04-24) 24 April 1984 (age 38)Stamford, Connecticut,,,,,
Kel Kade ,n,o,n,e,,,
Akala,n,o,n,e,,,
Chelsea Handler,Chelsea Joy Handler (1975-02-25) February 25, 1975 (age 47)Livingston, New Jersey, U.S.,,,
Michelle de Kretser,1957 (age 64–65)Colombo, Ceylon,,,,,
Michael Muhammad Knight,n,o,n,e,,,
Bill Hayes ,n,o,n,e,,,
Zack Loran Clark,n,o,n,e,,,
Kimberly Belle , (1968-02-20) 20 February 1968 (age 54),,,,,,
R.J. Parker ,n,o,n,e,,,
P.W. Catanese ,New York,,,,,,
Amy Alward ,n,o,n,e,,,
Sam Humphries,Samuel Ryan Humphries (1977-03-16) March 16, 1977 (age 45)Maryland, U.S.,,,,
Kate McLaughlin ,n,o,n,e,,,
Natasha Anders ,n,o,n,e,,,
Steve Bein,n,o,n,e,,,
Czesław Miłosz,(1911-06-30)30 June 1911Šeteniai, Kovno Governorate, Russian Empire,,,,
Bethany-Kris ,n,o,n,e,,,
Ron Franscell ,January 29, 1957[citation needed],,,,,
Jonathan Bernstein ,n,o,n,e,,,
Sarah Brianne ,n,o,n,e,,,
M.K. Eidem ,n,o,n,e,,,
John Barylick,n,o,n,e,,,
Laura Bates , (1986-08-27) 27 August 1986 (age 36)Oxford, England,,,,,
Rafi Mittlefehldt ,n,o,n,e,,,
Michael Hall,n,o,n,e,,,
Betsy Schow ,n,o,n,e,,,
Anne Elisabeth Stengl ,April 11, 1986McChord AFB, Washington,,,,
Hester Young ,n,o,n,e,,,
P. Dangelico ,n,o,n,e,,,
Melissa de la Cruz , (1971-09-07) September 7, 1971 (age 51)Manila, Philippines,,,,
Anna Lee Huber ,n,o,n,e,,,
Rowan Coleman ,n,o,n,e,,,
Victoria Fox,n,o,n,e,,,
Allen Eskens ,n,o,n,e,,,
Jessica Hawkins , British,,,,,,
Michael Greger , (1972-10-25) October 25, 1972 (age 50)[1][2]Miami, Florida, USA[3],,,
David M. Glantz, (1942-01-11) January 11, 1942 (age 80)Port Chester, New York, U.S.,,,
Augusten Burroughs ,Christopher Richter Robison (1965-10-23) October 23, 1965 (age 57)Pittsburgh, Pennsylvania, U.S.,,,
Eliza Granville,n,o,n,e,,,
Dinesh D'Souza ,Dinesh Joseph D'Souza (1961-04-25) April 25, 1961 (age 61)Bombay (now Mumbai), India,,,,
Kathryn Hughes, (1959-01-01) 1 January 1959 (age 63)UK,,,,,,
Noé Álvarez ,n,o,n,e,,,
Tracey Garvis Graves ,n,o,n,e,,,
Maika Moulite ,n,o,n,e,,,
William Finnegan,n,o,n,e,,,
Lian Tanner , (1951-03-17) 17 March 1951 (age 71)Tasmania, Australia,,,,,
LibScott,n,o,n,e,,,
Janella Angeles ,n,o,n,e,,,
Craig Alanson ,1962Springfield, MA,,,,,
Allison Rush,n,o,n,e,,,
E.K. Weaver ,n,o,n,e,,,
Katie Reus ,n,o,n,e,,,
Allyson James ,n,o,n,e,,,
Brittany Candau,n,o,n,e,,,
Tara Oakes ,n,o,n,e,,,
Eve Newton ,Euros Lyn,,,,,,
Joel L.A. Peterson ,n,o,n,e,,,
Paige McKenzie ,n,o,n,e,,,
Rayne Hall,2,299 (2011)[1],,,,,
Emily Nagoski ,Indiana University Bloomington[1],,,,,,
Zyrobotics ,n,o,n,e,,,
Alexis Pauline Gumbs ,1982,,,,,,
Isabelle Broom ,n,o,n,e,,,
F.T. Lukens ,n,o,n,e,,,
Mary Doria Russell , (1950-08-19) August 19, 1950 (age 72)Elmhurst, Illinois, U.S.,,,
J.L. Beck ,n,o,n,e,,,
C.C. Hunter ,Writer,,,,,,
Taya Kyle,Taya Renae Studebaker (1974-09-04) September 4, 1974 (age 48)Portland, Oregon, U.S.[1],,,
Steven Weinberg,(1932-05-03)May 3, 1932New York City, U.S.,,,,
Brooke Blaine,n,o,n,e,,,
Patricia Perry Donovan ,n,o,n,e,,,
Kim Slater,n,o,n,e,,,
Marc Levy , (1961-10-16) 16 October 1961 (age 61)Boulogne-Billancourt, France,,,,,
Kazu Kibuishi ,Kazuhiro Kibuishi (1978-04-08) April 8, 1978 (age 44)Tokyo, Japan,,,,
Richard Roberts ,n,o,n,e,,,
Matthew Reilly,Matthew John Reilly (1974-07-02) 2 July 1974 (age 48)Sydney, Australia,,,,,
Kate Eberlen,n,o,n,e,,,
Krystal Sutherland ,n,o,n,e,,,
Jorge Cham,Jorge Gabriel ChamMay 1976 (age 46)Bocas Town, Bocas del Toro, Panama,,,,
Bella Forrest ,n,o,n,e,,,
Inbali Iserles ,n,o,n,e,,,
Kate Morton ,1976 (age 45–46)Berri, South Australia,,,,,
Emma Cline,c. 1989Sonoma County, California,,,,,
Nicole Chung , (1981-05-05) May 5, 1981 (age 41)Seattle, Washington, U.S.,,,
Scott Meyer ,n,o,n,e,,,
Amanda Dykes ,n,o,n,e,,,
Wendy Walker ,n,o,n,e,,,
Juman Malouf,n,o,n,e,,,
Romina Garber ,n,o,n,e,,,
Jonathan Green ,n,o,n,e,,,
Jay Crownover ,n,o,n,e,,,
Cameron Bane,n,o,n,e,,,
Elle Cosimano ,n,o,n,e,,,
Leila Howland ,n,o,n,e,,,
Kelly Sue DeConnick , (1970-07-15) July 15, 1970 (age 52)Columbus, Ohio,[1] U.S.,,,
Jonas Karlsson,Sven Bert Jonas Karlsson (1971-03-11) 11 March 1971 (age 51)Salem, Sweden,,,,,
Karen M. Gocsik,n,o,n,e,,,
Aditi Khorana ,n,o,n,e,,,
Natalie D. Richards ,n,o,n,e,,,
Ramachandra Guha, (1958-04-29) 29 April 1958 (age 64)Dehradun, India[1],,,,,
Mark Greaney , (1980-06-23) 23 June 1980 (age 42),,,,,,
Kristi Ann Hunter ,n,o,n,e,,,
Sherry Leclerc ,n,o,n,e,,,
Terry Goodkind,Terry Goodkind(1948-01-11)January 11, 1948Omaha, Nebraska, U.S.,,,
Joseph Lewis ,n,o,n,e,,,
Peter J. Tomasi, (1967-08-18) August 18, 1967 (age 55),,,,,
Nicole Kornher-Stace ,n,o,n,e,,,
Alexander McCall Smith ,Rodney Alexander Alasdair McCall Smith (1948-08-24) 24 August 1948 (age 74)Bulawayo, Southern Rhodesia (now Zimbabwe),,,,,
Kristen Callihan ,n,o,n,e,,,
Sarah Winman,Sarah Winman (1964-12-24) 24 December 1964 (age 57)Ilford, Essex, England,,,,
Louise Candlish ,n,o,n,e,,,
Tola Rotimi Abraham,n,o,n,e,,,
Elvia Wilk ,n,o,n,e,,,
Marissa Burt ,n,o,n,e,,,
Cambria Brockman ,n,o,n,e,,,
Herman Parish,Texas, U. S.,,,,,
Martin Shannon,n,o,n,e,,,
Meghan March ,n,o,n,e,,,
Karen Dionne ,1953Akron, Ohio,,,,,
Supriya Kelkar ,n,o,n,e,,,
Tara Sivec ,n,o,n,e,,,
Alice Clayton ,n,o,n,e,,,
Melanie Hansen ,n,o,n,e,,,
Linda Williams,n,o,n,e,,,
D.H. Sidebottom ,n,o,n,e,,,
Kevin Barry,Kevin Gerard Barry(1902-01-20)20 January 1902Fleet Street, Dublin, Ireland,,,,
Terry Brooks ,Terence Dean Brooks (1944-01-08) January 8, 1944 (age 78)Sterling, Illinois, U.S.,,,
Amy Plum ,1967 (age 54–55)Portland, Oregon,,,,,
Anna Zaires ,n,o,n,e,,,
Mari Mancusi ,Young Adult, Young Adult, Romance,,,,
Liz Johnson ,n,o,n,e,,,
Audrey Coulthurst ,n,o,n,e,,,
Nick Cutter ,Episode 4.1,,,,,,
Marianne Knightly ,n,o,n,e,,,
Jason Schmidt,130–96,,,,,,
C.J. Tudor ,n,o,n,e,,,
M. Malone ,n,o,n,e,,,
C.J. Skuse,n,o,n,e,,,
Hannah Rothschild,n,o,n,e,,,
Mike Omer ,מיכאל עומר,,,,,,
Vikram Paralkar ,n,o,n,e,,,
Lucy Ives,n,o,n,e,,,
Brendan Wenzel,n,o,n,e,,,
Hannah E. Harrison,n,o,n,e,,,
Erin Hahn ,n,o,n,e,,,
Orhan Pamuk,Ferit Orhan Pamuk (1952-06-07) 7 June 1952 (age 70)Istanbul, Turkey,,,,,
James Islington ,c. 1981,,,,,,
Mur Lafferty , (1973-07-25) July 25, 1973 (age 49),,,,,
Kody Keplinger , (1991-08-08) August 8, 1991 (age 31)Owensboro, Kentucky[1],,,,
Chinua Achebe,Albert Chinụalụmọgụ Achebe(1930-11-16)16 November 1930Ogidi, British Nigeria,,,,,
Eliot Schrefer , (1978-11-25) November 25, 1978 (age 44)Chicago, Illinois, U.S.,,,
Alice Montgomery,n,o,n,e,,,
William Joyce ,William Brooke Joyce(1906-04-24)24 April 1906New York City, New York, United States,,,,
R.L. Mathewson ,n,o,n,e,,,
Dean Chalmers,n,o,n,e,,,
Frank Wilczek,Frank Anthony Wilczek (1951-05-15) May 15, 1951 (age 71)Mineola, New York, U.S.,,,
Kate Douglas Wiggin,Kate Douglas Smith(1856-09-28)September 28, 1856Philadelphia,,,,,
Jessica Sorensen ,n,o,n,e,,,
Meg Elison , (1982-05-10) May 10, 1982 (age 40),,,,,
Meredith Moore,n,o,n,e,,,
Margo Rabb ,n,o,n,e,,,
Rebecca Sugar,Rebecca Rea Sugar (1987-07-09) July 9, 1987 (age 35)Silver Spring, Maryland, U.S.,,,
Kim Holden ,n,o,n,e,,,
Lea Doué ,n,o,n,e,,,
Peter James,n,o,n,e,,,
Sheralyn Pratt ,n,o,n,e,,,
Colin Gigl ,n,o,n,e,,,
Martina McAtee ,n,o,n,e,,,
Melissa Broder , (1979-08-29) August 29, 1979 (age 43),,,,,
Darcy Coates ,n,o,n,e,,,
Camille Aubray ,n,o,n,e,,,
Catherine Doyle ,n,o,n,e,,,
Katie McGarry ,n,o,n,e,,,
Ava Miles ,n,o,n,e,,,
Ann Coulter,Ann Hart Coulter (1961-12-08) December 8, 1961 (age 61)New York City, U.S.,,,,
Sarai Walker ,n,o,n,e,,,
Courtney Maum ,Greenwich, Connecticut,,,,,
Richard Chiem ,n,o,n,e,,,
Nicholas Gannon,n,o,n,e,,,
Marsha Wilson Chall,n,o,n,e,,,
Estelle Laure ,n,o,n,e,,,
Brian McClellan , (1986-01-25) January 25, 1986 (age 36)Cleveland, Ohio, USA,,,
Owen Jones, (1984-08-08) 8 August 1984 (age 38)Sheffield, South Yorkshire, England,,,,
Tor Seidler,1952[citation needed]Littleton, New Hampshire,,,,,
Michelle Krys ,n,o,n,e,,,
Michael Z. Williamson,1967 (age 54–55)Birkenhead, England,,,,,
Joe Sugg,Joseph Graham Sugg (1991-09-08) 8 September 1991 (age 31)[1]Lacock, Wiltshire, England,,,,
C.L. Denault ,n,o,n,e,,,
Talya Tate Boerner ,n,o,n,e,,,
Liz Lawler ,n,o,n,e,,,
Richard Fenton ,1747St Davids, Pembrokeshire,,,,,
Michael O'Keefe ,Raymond Peter O'Keefe Jr. (1955-04-24) April 24, 1955 (age 67)Mount Vernon, New York, U.S.,,,
Luvvie Ajayi Jones ,n,o,n,e,,,
Christopher Coleman ,n,o,n,e,,,
Jessica Shattuck ,Writer,,,,,,
Sy Montgomery, (1958-02-07) February 7, 1958 (age 64)Frankfurt, Germany,,,,
Eiichiro Oda,Eiichirō Oda (尾田 栄一郎) (1975-01-01) January 1, 1975 (age 47)Kumamoto, Kumamoto Prefecture, Japan,,,
Samantha Ir,n,o,n,e,,,
Simon James Green ,n,o,n,e,,,
Jane Alison,n,o,n,e,,,
Jane Yolen , (1939-02-11) February 11, 1939 (age 83)Manhattan, New York, U.S.,,,
Eileen Spinelli,n,o,n,e,,,
Megan McCafferty ,Megan Fitzmorris1973,,,,,,
Lia Louis ,n,o,n,e,,,
Shion Miura,三浦 しをん,,,,,,
Kalayna Price ,Novelist,,,,,,
Carolyn Lee Adams ,n,o,n,e,,,
Susan May Warren ,n,o,n,e,,,
Molly E. Lee ,n,o,n,e,,,
Christine McCullough,n,o,n,e,,,
Jennifer Bosworth ,n,o,n,e,,,
Yoshitoki Ōima, (1989-03-15) March 15, 1989 (age 33)Ōgaki, Japan,,,,
Seth Grahame-Smith,Seth Jared Greenberg (1976-01-04) January 4, 1976 (age 46)Rockville Centre, New York, U.S.,,,
Leah Rae Miller ,n,o,n,e,,,
David Mitchell,n,o,n,e,,,
Isham Cook ,n,o,n,e,,,
Paul Ruditis,n,o,n,e,,,
Heather Hansen ,n,o,n,e,,,
Jamie Shaw ,n,o,n,e,,,
Hollie Overton ,n,o,n,e,,,
Gail Simone,Oregon, U.S.,,,,,
Deborah Shapiro ,n,o,n,e,,,
Jude Deveraux,Jude Gilliam (1947-09-20) September 20, 1947 (age 75)Fairdale, Kentucky United States,,,,
Kevin Henkes, (1960-11-27) November 27, 1960 (age 62)Racine, Wisconsin, USA,,,
Kei Sazane,n,o,n,e,,,
Margarita Montimore ,n,o,n,e,,,
George MacDonald Fraser,2 April 1925Carlisle, Cumberland, England,,,,
William T. Vollmann,William Tanner Vollmann (1959-07-28) July 28, 1959 (age 63)Los Angeles, California,,,,
Tricia Mingerink ,n,o,n,e,,,
Helen Hardt ,n,o,n,e,,,
Kristen Heitzmann ,n,o,n,e,,,
Megan Erickson ,n,o,n,e,,,
Lindsey Kelk , (1980-10-03) October 3, 1980 (age 42)Doncaster, South Yorkshire, England,,,
Emma Scott ,n,o,n,e,,,
Matt Digeronimo ,n,o,n,e,,,
Isaac Marion , (1981-12-30) December 30, 1981 (age 40),,,,,
Drew Barrymore,Drew Blythe Barrymore (1975-02-22) February 22, 1975 (age 47)Culver City, California, U.S.,,,
Brant A. Gardner ,n,o,n,e,,,
R.A. Steffan ,n,o,n,e,,,
María Gainza,n,o,n,e,,,
S.M. Wilson ,n,o,n,e,,,
Larry Witham ,n,o,n,e,,,
Cathy Glass,n,o,n,e,,,
Shelly Laurenston,n,o,n,e,,,
P. Dotson,n,o,n,e,,,
Melissa Burke ,Sitcom,,,,,,
Rosanna Pansino,Seattle, King County, Washington, U.S.,,,
Farah Oomerbhoy ,n,o,n,e,,,
Jeannine Colette ,n,o,n,e,,,
J. Patrick Black ,n,o,n,e,,,
Tony Hawks,Antony Gordon Hawksworth (1960-02-27) 27 February 1960 (age 62)Brighton, England,,,,,
John Doe,n,o,n,e,,,
Oscar Wilde,Oscar Fingal O'Flahertie Wills Wilde(1854-10-16)16 October 1854Dublin, Ireland,,,,,
Maggie Thrash ,Margaret ThrashAtlanta, Georgia,,,,,
Elizabeth Rudnick,n,o,n,e,,,
David A. Goodman,David Avram Goodman (1962-12-13) December 13, 1962 (age 60)New Rochelle, New York, U.S.,,,
Julianne Donaldson ,n,o,n,e,,,
Makoto Yukimura, (1976-05-08) May 8, 1976 (age 46)[1]Yokohama, Japan,,,,
Pene Henson ,n,o,n,e,,,
Susan Straight , (1960-10-19) October 19, 1960 (age 62)Riverside, California, U.S.,,,
Mike Thaler,1936Los Angeles, California, United States,,,,
Lisa Papp ,n,o,n,e,,,
George O'Connor,n,o,n,e,,,
Evangeline Denmark ,n,o,n,e,,,
Bill Clegg ,n,o,n,e,,,
Ceci Giltenan ,n,o,n,e,,,
Marie Sexton ,n,o,n,e,,,
Drew Daywalt,n,o,n,e,,,
Elsa Holland ,n,o,n,e,,,
Eden Robinson,Eden Robinson (1968-01-19) January 19, 1968 (age 54)Kitimat, British Columbia, Canada,,,
Yoru Sumino,住野よる,,,,,,
Kevin Sands ,n,o,n,e,,,
Christopher Rice ,Christopher Travis Rice (1978-03-11) March 11, 1978 (age 44)Berkeley, California, U.S.,,,
Jo Knowles ,n,o,n,e,,,
Chris L. Terry ,n,o,n,e,,,
Sarah Glenn Marsh ,n,o,n,e,,,
Jon Negroni ,n,o,n,e,,,
Tom McCarthy,n,o,n,e,,,
Michelle Howard , (1960-04-30) April 30, 1960 (age 62)March Air Force Base, California, U.S.,,,
Philip Kerr,Philip Ballantyne Kerr22 February 1956Edinburgh, Scotland,,,,,
M.G. Bullen,n,o,n,e,,,
Jennifer L. Holm , (1968-06-16) June 16, 1968 (age 54)San Diego, California, U.S.,,,
R.E. Carr ,n,o,n,e,,,
Donny Cates, (1984-09-14) September 14, 1984 (age 38)Dallas, Texas, United States,,,
Adam Becker ,1984New Jersey,,,,,,
Andersen Prunty ,n,o,n,e,,,
Dina Nayeri ,December 20, 1979Isfahan, Iran,,,,
Pat Frayne ,n,o,n,e,,,
C.M. Stunich ,n,o,n,e,,,
Karla Sorensen ,n,o,n,e,,,
Scott Mariani ,n,o,n,e,,,
Anna Smaill ,Anna SmaillApril 1979Auckland, New Zealand,,,,,
Sarah Sundin ,n,o,n,e,,,
Toni Morrison,Chloe Ardelia Wofford(1931-02-18)February 18, 1931[1]Lorain, Ohio, U.S.,,,
Natalie Eve Garrett ,n,o,n,e,,,
Destiny Soria ,n,o,n,e,,,
Melissa Caruso ,n,o,n,e,,,
Duncan Hamilton,n,o,n,e,,,
Chuck Wendig ,Charles David Wendig (1976-04-22) April 22, 1976 (age 46)New Hope, Pennsylvania, U.S.,,,
Parker S. Huntington ,n,o,n,e,,,
Christina Baker Kline ,n,o,n,e,,,
Edna Ferber,August 15, 1885 (1885-08-15)Kalamazoo, Michigan, U.S.,,,
Bobbie Ann Mason,1 May 1940Mayfield, Kentucky,,,,,
Alex Archer ,"
(1908-05-01)1 May 1908West Ham", Essex, England,,,,
T.R. Richmond,n,o,n,e,,,
Skyla Madi ,n,o,n,e,,,
Helen Thurloe ,n,o,n,e,,,
Paul A. Offit,Paul Allan Offit (1951-03-27) March 27, 1951 (age 71)[1]Baltimore, Maryland, U.S.[2],,,
Mira Grant, (1978-01-05) January 5, 1978 (age 44)Martinez, California, U.S.,,,
Bill Nye,William Sanford Nye (1955-11-27) November 27, 1955 (age 67)Washington, D.C., U.S.,,,
Karen Rose ,Karen RoseBaltimore, Maryland, US,,,,
Claire Kann ,n,o,n,e,,,
Leylah Attar ,n,o,n,e,,,
Josephine Rowe ,n,o,n,e,,,
Charlie Cochet ,n,o,n,e,,,
