,0,1,2,3,4,5,6
Sejal Badani ,n,o,n,e,,,
S.J. Kincaid ,n,o,n,e,,,
Benjamin Alire Sáenz , (1954-08-16) August 16, 1954 (age 68)Doña Ana County, New Mexico, USA,,,
Brian Selznick, (1966-07-14) July 14, 1966 (age 56)East Brunswick Township, New Jersey,,,,
Brigid Kemmerer , (1978-01-11) January 11, 1978 (age 44)[1]Omaha, Nebraska, U.S.[1],,,
Robert Bryndza ,n,o,n,e,,,
Alexander Helas ,n,o,n,e,,,
Lee Child ,James Dover Grant (1954-10-29) 29 October 1954 (age 68)Coventry, Warwickshire, England,,,,
Rachel E. Carter ,n,o,n,e,,,
J.R. Ward ,Jessica Rowley Pell BirdApril 19, 1969[1]Boston, Massachusetts, United States,,,
J.P. Delaney ,n,o,n,e,,,
Julie Buxbaum ,1977 (age 44–45)[1],,,,,,
Ali Benjamin,Alison WadeUnited States,,,,,,
L.J. Shen ,n,o,n,e,,,
Autumn Jones Lake ,n,o,n,e,,,
S. Jae-Jones ,n,o,n,e,,,
Chimamanda Ngozi Adichie, (1977-09-15) 15 September 1977 (age 45)Enugu, Enugu State, Nigeria,,,,
Alexandra Bracken ,Phoenix, Arizona, U.S.,,,,
Kent Haruf,February 24, 1943Pueblo, Colorado,,,,
Josie Silver ,n,o,n,e,,,
GRWilson ,n,o,n,e,,,
Jennifer L. Armentrout ,Jennifer Lynn Armentrout (1980-06-11) June 11, 1980 (age 42)Martinsburg, West Virginia,,,,
Lucinda Riley ,Lucinda Kate Edmonds(1965-02-16)16 February 1965Lisburn, Northern Ireland,,,,,
James Victor Jordan ,n,o,n,e,,,
Ernest Cline ,Ernest Christy Cline (1972-03-29) March 29, 1972 (age 50)Ashland, Ohio, U.S.[1],,,
Imbolo Mbue ,Limbe, Cameroon,,,,,
S.C. Stephens ,n,o,n,e,,,
I James Forrest,n,o,n,e,,,
Tui T. Sutherland,Tui Tamara Sutherland (1978-07-31) July 31, 1978 (age 44)Caracas, Venezuela,,,,
Cynthia D'Aprix Sweeney ,Cynthia D'Aprix Sweeney,,,,,,
Suzanne Collins, (1962-08-10) August 10, 1962 (age 60)[1]Hartford, Connecticut, U.S.,,,
Roxane Gay , (1974-10-15) October 15, 1974 (age 48)Omaha, Nebraska, U.S.,,,
Louise Erdrich,Karen Louise Erdrich (1954-06-07) June 7, 1954 (age 68)Little Falls, Minnesota, U.S.,,,
Ken Follett ,Kenneth Martin Follett (1949-06-05) 5 June 1949 (age 73)Cardiff, Wales,,,,,
Jean Craighead George,(1919-07-02)July 2, 1919[1]Washington, D.C.,,,,
Martha Wells , (1964-09-01) September 1, 1964 (age 58)Fort Worth, Texas, U.S.,,,
S.M. Parker ,n,o,n,e,,,
Michael Jensen ,n,o,n,e,,,
Michael D. Durkota,n,o,n,e,,,
Lene Fogelberg ,n,o,n,e,,,
Tiffany FitzHenry ,n,o,n,e,,,
Durgesh Satpathy ,n,o,n,e,,,
Ali Marsman ,n,o,n,e,,,
Jeremy Griffith ,1945 (age 76–77),,,,,,
Lauren Kate , (1981-03-21) March 21, 1981 (age 41)Dayton, Ohio, United States,,,
Farah Cook ,n,o,n,e,,,
Susan M. Boyer ,Author,,,,,,
Jerilee Kaye ,n,o,n,e,,,
Kathleen Baldwin ,DOB unknownArizona, US,,,,,
Jamal Lewis ,Running back,,,,,,
Rusty Young ,n,o,n,e,,,
Dennis E. Taylor ,Canada,,,,,,
Becky Chambers,Rebecca Marie ChambersMay 3, 1985 (1985-05-03) (age 37)Los Angeles County,,,,,
Rainbow Rowell , (1973-02-24) February 24, 1973 (age 49) [1][2]Nebraska, United States,,,,
Jaye L. Knight ,n,o,n,e,,,
Abbi Glines ,Lora Abigail Potts[1][2] (1977-04-16) April 16, 1977 (age 45)Birmingham, Alabama[3][4][5],,,,
Lauren Graham,Lauren Helen Graham (1967-03-16) March 16, 1967 (age 55)Honolulu, Hawaii, U.S.,,,
