,0
Danielle Esplin ,none
Lauren James ,2001-09-29
Kade Cook ,none
Cassandra Fear ,none
William Gibson,1948-03-17
Frances Hardinge,none
Ali Land,none
Nujeen Mustafa,none
Jennifer Anne Davis ,none
Jill Santopolo ,none
Marjorie M. Liu ,none
Ryan Holiday ,1987-06-16
Lyndsay Faye ,none
Malcolm Gladwell,1963-09-03
Lyssa Kay Adams ,none
J. Cafesin ,none
Walter Dean Myers,1937-08-12
Katy Evans ,1976-03-03
William MacAskill ,1987-03-24
Beth Revis ,none
Elena Favilli ,1982-08-03
Emiko Jean ,none
Viral Dalal ,none
Olga Tokarczuk,1962-01-29
Mariko Tamaki,none
Jennifer A. Nielsen ,1971-07-10
Adib Khorram ,none
Victoria Lee ,2004-05-17
Richard Bradford,none
Kaitlin Bevis ,none
Kresley Cole ,none
Adam Steven Page ,none
Miranda July ,1974-02-15
C.J. Redwine ,none
Will Wight ,1989-08-11
Wendy Spinale ,none
Ann Leckie ,1966-03-02
Jennifer Latham ,none
Sharlyn G. Branson ,none
Dalai Lama XIV,1935-07-06
Peter V. Brett ,1973-02-08
C.G. Drews ,none
Max Porter,none
Walter Isaacson ,1952-05-20
Shashi Tharoor,1956-03-09
Bernardine Evaristo,1959-05-28
Haemin Sunim,1973-12-12
Helen Oyeyemi ,1984-12-10
Cath Crowley ,none
Lisa McMann ,none
Maylis de Kerangal,1967-06-16
Alexei Maxim Russell ,none
James Rollins ,1961-08-20
Lauren Blakely ,none
Alyssa B. Sheinmel ,none
Lilly Singh,1988-09-26
Robert M. Sapolsky,1957-04-06
Sarah Beth Durst ,1974-05-23
Jocko Willink ,1971-09-08
Robert Beatty ,1909-10-19
Gita Trelease ,none
Rebecca Schaeffer ,1967-11-06
Makoto Shinkai,1973-02-09
Kiran Bhat ,none
Arabella Weir,1957-12-06
Keri Lake ,1969-08-23
A.S. King ,1970-03-10
Leonard Seet ,none
Jason Reynolds,1983-12-06
Paul Tremblay ,1971-06-30
Fatima Farheen Mirza ,1991-04-10
Justina Ireland ,1985-02-07
Natasha Ngan ,none
Zora Neale Hurston,1891-01-07
Jamie McGuire ,1983-11-13
Karole Cozzo ,none
Greg Iles ,none
Devney Perry ,none
Elif Shafak ,1971-10-25
Cara Alwill Leyba,none
Dean Atta ,none
Kurtis J. Wiebe ,none
J. Carson Rose ,none
J.Y. Yang ,none
Tricia Levenseller ,none
Simone St. James ,none
Bridget Collins ,none
Alex Light ,1996-05-02
Scott Adams,1957-06-08
Lisa Genova ,1970-11-22
Katarina Bivald ,none
Gianni Perticaroli ,none
Sona Charaipotra ,none
Salla Simukka,1981-06-16
Lisa Lutz ,1970-03-13
Harlan Coben ,none
Michael Wolff,none
John Gwynne ,none
S.D. Smith ,none
Patricia Cornwell ,1956-06-09
Sandie Jones ,none
Charles Patterson,none
Elliot Wake ,none
Jonathan Stroud ,1970-10-27
Shea Ernshaw ,none
Daniel Cole,none
Peter Brown,none
Holly Jackson ,none
Kim Liggett ,none
Kami Garcia ,1972-03-25
Michael Grant ,none
Glennon Doyle ,1976-03-20
Colleen Oakes ,none
Emmy Laybourne ,1947-05-19
Brent Weeks ,1977-03-07
Emily Lloyd-Jones ,none
Anna Pitoniak ,none
Rosanne Parry ,none
Charlotte McConaghy ,none
Elena Dunkle,none
A.L. Jackson ,none
Keigo Higashino,1958-02-04
Anna Burns,1962-03-07
Chris Turnbull ,none
Gretchen McNeil ,2020-02-14
Lauren Groff ,1978-07-23
Emily Henry ,none
Rachel Vincent ,none
Jeff Garvin ,none
Young Kim ,1962-10-18
Felix O. Hartmann ,none
Cal Newport,1982-06-23
David Levithan ,1972-09-07
Cristin Terrill ,none
Rory Power ,none
Sarah Lyu ,none
Julia Durango,none
Erin Beaty ,none
Kelly Loy Gilbert ,none
Tracy Wolff,none
Sunil Khilnani,none
Rysa Walker ,none
Jenn Marie Thorne ,none
Aimee Friedman ,none
