,0
David Lagercrantz,1962-09-04
Melissa de la Cruz ,1971-09-07
Alex London,none
Katie Ashley ,none
Elizabeth Strout,1956-01-06
Lauren Child,1965-11-29
R.K. Lilley ,none
Tayari Jones ,1970-11-30
Libba Bray ,1964-03-11
Winston Graham,1908-06-30
Jessica Verday,none
P.G. Wodehouse,none
M. Pierce ,none
Madeleine Roux ,none
Boris Vian,1920-03-10
Megan Shepherd ,none
Kat Zhang ,1991-04-01
Herman Koch,1953-09-05
Raina Telgemeier ,1977-05-26
Pernell Plath Meier ,none
Kady Cross ,none
Vera Brosgol ,1984-08-02
Amy Tintera ,none
Lisa Genova ,1970-11-22
Andrew Mayne ,none
Kate O'Hearn,none
John Stephens,none
Louise O'Neill,none
Kimberly Lauren ,none
Karena Marie ,none
Georgia Hunter ,none
Brigid Kemmerer ,1978-01-11
Karen Witemeyer ,none
Macel Ely II,none
Sarah Ann Walker ,none
Amber Lea Easton ,none
Jamie A. Waters ,none
Lola Smirnova ,none
Matthew D. Dho ,none
Alexandra Christo ,none
Donna K. Childree ,none
Kimberly Derting ,none
Robert Thier,none
Nikki Sex ,none
Katie Cotugno ,none
Melanie Dickerson ,none
Larissa Ione ,none
Victoria Foyt ,none
Anna Gallegos ,none
Greer Hendricks ,none
Claire Morgan ,1980-08-17
Amit Ray,1960-08-12
Lisa Collicutt ,none
Sylvain Neuvel ,none
Diane Chamberlain ,none
Jeanette Winterson,1959-08-27
Jessica Day George ,1976-10-11
Frédéric Bastiat ,1801-06-30
Adrian Tchaikovsky ,1972-06-04
Michael Connelly ,1956-07-21
Hilary Davidson ,none
A.S. King ,1970-03-10
Cat Clarke ,none
Caroline Smailes,none
Jim L. Wright,none
Meg Wolitzer,1959-05-28
Kimber Lee ,1990-06-27
Nnedi Okorafor ,1974-04-08
Craig Thompson,1975-09-21
Wendy Mass ,1967-04-22
Robin Benway ,none
Riley Sager ,none
Ocean Vuong,1988-10-14
Austin Kleon ,1983-06-16
Frances Hardinge,none
Stephanie Osborn ,none
Tammy Falkner ,none
Jen Campbell ,none
Isabel Allende ,1942-08-02
Molly Harper ,none
Tommy Orange ,1982-01-19
China Miéville ,1972-09-06
Martha Hall Kelly ,none
Sejal Badani ,none
Tess Gerritsen ,1953-06-12
S.J. Kincaid ,none
Anonymous,none
Lili St. Germain ,none
Shannon McRoberts ,none
Anne Blankman ,none
Robert Bryndza ,none
Alexander Helas ,none
Lee Child ,1954-10-29
Joanne M. Harris,none
Kate Forsyth ,1966-06-03
Gabrielle Zevin ,1977-10-24
Margaret Mazzantini,1961-10-27
Rachel E. Carter ,none
Hajime Isayama,1986-08-29
Abigail Roux ,none
Sara Shepard ,1977-04-08
Rose Christo,none
J.P. Delaney ,none
David Foster Wallace,1962-02-21
Bethany Wiggins ,none
Julie Buxbaum ,none
Ali Benjamin,none
April Henry ,1959-04-19
L.J. Shen ,none
Mariko Tamaki,none
Autumn Jones Lake ,none
S. Jae-Jones ,none
Amber Argyle ,none
Kent Haruf,none
Sarah Waters,1966-07-21
Julie James ,1958-02-25
Natasha Anders ,none
Marie Brennan ,none
Tyler Whitesides ,none
Willow Aster ,none
Jeff Noon,none
Josie Silver ,none
Trenton Lee Stewart ,1970-05-27
Wendy Wunder,none
Jay McLean ,none
Kenneth Oppel ,1967-08-12
GRWilson ,none
Sarah Winman,1964-12-24
Rebecca Zanetti ,none
Lucinda Riley ,1965-02-16
Alexandra Monir ,none
Maurice Druon,1918-04-23
Shay Savage ,none
Will Schwalbe ,none
Katie Alender ,none
J.J. McAvoy,none
James Victor Jordan ,none
Brian McClellan ,1986-01-25
Lidia Yuknavitch ,1963-06-18
Janet Edwards ,none
Imbolo Mbue ,none
I James Forrest,none
Melissa Marr ,1972-07-25
Beth Flynn ,none
Jeanne Ryan ,none
Emily Murdoch ,none
Erik Larson ,none
J. Lynn,none
Joseph Delaney ,1945-07-25
Jonathan Auxier ,1981-08-10
Gwen Hayes,none
Sun-mi Hwang,none
Mhairi McFarlane ,none
Cynthia D'Aprix Sweeney ,none
Jacqueline Woodson ,1963-02-12
Amy Chua,1962-10-26
Skyla Madi ,none
Rene Denfeld ,none
Jess Walter,1965-07-20
M.J. Thompson ,none
Susane Colasanti ,1973-05-01
Lauren Morrill ,none
Scott Snyder ,none
Susanna Kearsley ,1966-01-17
Lauren Beukes ,1976-06-05
Monica Murphy ,none
Jennifer Rush ,1960-09-28
Claire LaZebnik ,none
Chetan Bhagat,1974-04-22
Roxane Gay ,1974-10-15
Tera Lynn Childs ,none
pleasefindthis ,none
Herta Müller,1953-08-17
Rhonda Byrne,1951-03-12
Pepper Winters ,none
Jean Craighead George,1919-07-02
Violet Samuels ,none
Martha Wells ,1964-09-01
Katherine Boo,1964-08-12
Theo Lawrence,none
Wendelin Van Draanen ,none
J.D. Stroube ,none
Tom Davis ,none
Leandi Cameron ,none
S.M. Parker ,none
Michael Jensen ,none
Michael D. Durkota,none
Lene Fogelberg ,none
Tiffany FitzHenry ,none
Durgesh Satpathy ,none
Ali Marsman ,none
Trevor Shane ,1976-04-04
Sorin Suciu ,none
Thomas Piketty,1971-05-07
Jeremy Griffith ,none
Chris Thrall ,none
Farah Cook ,none
Susan M. Boyer ,none
Teresa Garcia ,none
Elle Casey ,none
Jerilee Kaye ,none
Kathleen Baldwin ,none
Jayde Scott ,none
Alexander Jovy ,none
Emily Guido ,none
Mia Asher ,none
Gabriella Lepore ,none
Ripley Patton ,none
Kevin J. Howard ,none
Bob Goff,1959-02-22
Jamal Lewis ,1979-08-26
C.E. Kilgore ,none
Eben Alexander,none
Naoki Higashida,none
Rusty Young ,none
Dennis E. Taylor ,none
