index,0
Paul Kalanithi,none
Lauren DeStefano ,1984-10-13
Robert T. Kiyosaki,1947-04-08
Isak Dinesen,none
Lynne Truss,1955-05-31
Anne Bishop,none
Christina Lauren ,none
Ivo Andrić,1892-10-09
James Baldwin,1924-08-02
Gillian Dance ,none
Emily St. John Mandel ,none
Carrie Ryan ,none
John Gray,none
Friedrich Nietzsche,1844-10-15
Lara Adrian ,none
Larry Niven,1938-04-30
Naomi Novik ,1973-04-30
Irène Némirovsky,1903-02-11
Noah Gordon,none
Megan Whalen Turner ,1965-11-21
Primo Levi,1919-07-31
Lev Grossman ,1969-06-26
Tsugumi Ohba,none
Eugene O'Neill,1888-10-16
Edwin A. Abbott,1838-12-20
Elizabeth Wein ,1964-10-02
Chloe Neill ,1975-05-17
Azar Nafisi ,1948-12-01
Melodie Ramone ,none
J.G. Ballard,1930-11-15
Karl Marx,1818-05-05
Huntley Fitzpatrick ,none
Patricia MacLachlan,1938-03-03
Michelle Magorian,1947-11-06
Julian Barnes,1946-01-19
Alan Brennert ,1954-05-30
Colum McCann ,1965-02-28
Thomas Paine,1737-02-09
Peter Straub ,1943-03-02
Jana Petken ,none
Samuel R. George,none
Avi,none
Moira Young ,none
Christopher Hitchens,1949-04-13
A.G. Howard ,none
J.K. Franko ,none
Taylor Jenkins Reid ,1983-12-20
Sherwood Anderson,1876-09-13
Kathleen Grissom ,none
Ted Bernal Guevara ,none
Blake Crouch ,1978-10-15
Marie Rutkoski ,1977-03-05
Barbara Ehrenreich,1941-08-26
Vera Jane Cook ,none
Renée Ahdieh ,none
Anna Todd ,1989-03-20
Carol Rifka Brunt ,none
William Landay ,1963-07-23
M. Scott Peck,1936-05-22
Alison Goodman ,none
Andrew Watson ,none
Joelle Charbonneau,none
Walter Moers,1957-05-24
Kelly Creagh ,none
Morgan Matson ,none
Sergei Lukyanenko,1968-04-11
David Clement-Davies ,1964-01-06
Linda Masemore Pirrung,none
Thornton Wilder,1897-04-17
Sandra Cisneros,1954-12-20
Rom LcO'Feer,none
Steven Pressfield ,none
Tad Williams ,1957-03-14
Juliet Marillier ,1948-07-27
Brae Wyckoff ,none
Tom Rob Smith,1979-02-19
Augustine of Hippo,none
Armistead Maupin,1944-05-13
Robin LaFevers,none
Emma Chase ,none
Lindsay Anne Kendal ,none
Mark Bowden,1951-07-17
William L. Shirer,1904-02-23
Shelly Crane ,none
Jo Nesbø ,1960-03-29
Simone de Beauvoir,1908-01-09
Kresley Cole ,none
Richard Preston,1954-08-05
Heather Morris ,1987-02-01
James Alexander Thom,none
J.K. Accinni,none
Philippa Gregory ,1954-01-09
Natsuki Takaya,1973-07-07
Malcolm Lowry,1909-07-28
Alex Michaelides ,none
Tom Wolfe,1930-03-02
Jennifer Donnelly ,1963-08-16
Ross Lockridge Jr.,1914-04-25
Pat Frank,none
Dorothy L. Sayers,1893-06-13
Amor Towles ,none
Jim Fergus ,none
Norman Mailer,1923-01-31
Alison Croggon ,1962
Patricia Highsmith,1921-01-19
Jami Brumfield ,none
Irvin D. Yalom,1931-06-13
Stella Gibbons,1902-01-05
Holly Black ,1971-11-10
Catherine Fisher,none
Amit Ray,1960-08-12
Julia Hoban,none
Jude Deveraux,1947-09-20
Darren Shan ,1972-07-02
Robert Dugoni ,none
Anthony Horowitz ,1955-04-05
Linda Watkins ,1908-05-23
Eleanor H. Porter,1868-12-19
Jean Rhys,1890-08-24
Miguel Ruiz,none
Kimberly Derting ,none
Dennis Sharpe ,none
Lloyd Alexander,1924-01-30
Raymond Carver,1938-05-25
Joe Hill ,none
Jennifer Weiner ,1970-03-28
Lisa McMann ,none
Darynda Jones ,none
Patrick O'Brian,none
Jeanette Winterson,1959-08-27
Alexandre Dumas fils,1824-07-27
Gordon B. Hinckley,1995-03-12
Kendare Blake ,none
Patti Smith ,1946-12-30
Mario Vargas Llosa,1936-03-28
Chuck Dixon ,1954-04-14
Rhys Bowen ,1941-09-24
Spencer W. Kimball,1973-12-30
Jodi Ellen Malpas ,none
Nelou Keramati ,none
Alison Bechdel,1960-09-10
Edward Rutherfurd ,none
Alan Bradley ,none
Mahatma Gandhi,1869-10-02
Courtney Allison Moulton ,1986-08-16
Lian Hearn,1942-08-29
A.D. Zoltan,none
Jennifer Egan ,none
Jack Finney,1911-10-02
Ivan Goncharov,1812-06-18
Daniel Kahneman,1934-03-05
Mackenzi Lee ,none
John Fante,1909-04-08
Dorothy Dunnett,1923-08-25
Alfred Bester,1913-12-18
Ken Grimwood,1944-02-27
Lissa Price ,none
Samantha Shannon ,1991-11-08
Tom Stoppard,1937-07-03
Ayaan Hirsi Ali,1969-11-13
Lili St. Crow,none
Michel Faber,1960-04-13
J. Jupes ,none
Iain M. Banks,none
Sam Conniff ,none
John Galsworthy,1867-08-14
Lynne Reid Banks,1929-07-31
Kōbō Abe,1924-03-07
ShelFoote,none
Lalita Tademy ,none
Sarah Dunant,1950-08-08
Henry Fielding,1707-04-22
Arkady Strugatsky,1925-08-28
Thomas Wolfe,1900-10-03
R.A. Salvatore,1959-01-20
Margaret Weis ,1948-03-16
Jennifer E. Smith ,none
Steven Erikson ,1959-10-07
Kate Atkinson,none
