isbn,main author
9780393351392,Lawrence Hill
9781469984018,Kirsty Moseley 
9780670023486,Deborah Harkness 
9780671743055,Robert R. McCammon
9780525555360,John Green 
9780441018529,Ilona Andrews 
9780751565355,John Tiffany 
9780316206846,Robert Galbraith
9780763676193,Patrick Ness
9781841493152,Trudi Canavan
9781841496863,Patricia Briggs
9781423128205,Ally Carter 
9780765302304,Robert Jordan
9780399590504,Tara Westover 
9780689862205,Robert C. O'Brien
9780399587191,Liane Moriarty 
9780316036191,James Patterson 
9780451233165,J.R. Ward 
9780061120251,Isabel Allende 
9781442445932,Shannon Messenger 
9780062310668,Victoria Aveyard 
9780099771814,Philip Roth
9780007117147,Clive Barker 
9781451681734,M.L. Stedman 
9780425226926,Nalini Singh 
9781573226523,Alex Garland
9781476729084,Graeme Simsion 
9780345409461,Carl Sagan
9780060012380,Terry Pratchett
9780142437308,Graham Greene
9780553562736,Connie Willis
9780316954990,Herman Wouk
9780316548182,Nelson Mandela
9780307592736,Cheryl Strayed 
9780345525543,Vanessa Diffenbaugh 
9781619636101,Sarah J. Maas 
9780316201575,Chris Colfer
9780061985843,Kiersten White 
9780310276999,Rick Warren
9780099399018,Philip Roth
9780316322409,Malala Yousafzai
9781250095251,Stephanie Garber 
9780060852559,Barbara Kingsolver
9780451457769,Guy Gavriel Kay 
9780374191481,Roberto Bolaño
9780060513030,Shel Silverstein
9780451188458,Jeffery Deaver 
9780440539810,Robert Shea
9780312364083,Kristin Hannah 
9780316556347,Madeline Miller 
9780375714573,Marjane Satrapi
9780373772469,Gena Showalter 
9780345349576,Barbara W. Tuchman
9781400044160,Chimamanda Ngozi Adichie
9780345484260,Anne McCaffrey
9780618249060,Rachel Carson
9780140435122,Charles Dickens
9781423121312,Rachel Hawkins 
9780441018642,Charlaine Harris 
9781451648539,Walter Isaacson 
9780316056632,Gail Carriger 
9780316084239,Kody Keplinger 
9780735220683,Gail Honeyman
9780385613460,Jenny Downham
9780060838584,Eric Schlosser
9780062014535,Lauren Oliver 
9780060590161,Garth Nix 
9780385732567,Lois Lowry 
9780807083697,Octavia E. Butler
9781442409057,Lauren DeStefano 
9780751532715,Robert T. Kiyosaki
9780060278250,Garth Nix 
9780141186351,James Baldwin
9780441018192,Patricia Briggs
9780679736325,Cormac McCarthy
9780385353304,Emily St. John Mandel 
9780575090859,Carrie Ryan 
9780385528771,Margaret Atwood 
9780575077027,Larry Niven
9780804179034,Naomi Novik 
9781400096275,Irène Némirovsky
9780060835774,Megan Whalen Turner 
9780646418438,Agatha Christie
9780399167836,Marie Lu 
9781599900513,Shannon Hale 
9780312590444,Alyson Noel 
9780670020553,Lev Grossman 
9780300093056,Eugene O'Neill
9781416524298,Stephen King 
9781405258210,Elizabeth Wein 
