index,0
Neil deGrasse Tyson ,1958-10-05
Stephen Tesher ,none
Kendare Blake ,none
Neil Gaiman ,1960-11-10
C.L. Wilson ,none
Timothy Ferriss ,1977-07-20
Jennifer Donnelly ,1963-08-16
Elizabeth Goudge,1900-04-24
Guy Sajer,1927-01-13
Cecelia Ahern,1981-09-30
Margaret Weis ,1948-03-16
Adeline Yen Mah,1937-11-30
Isabel Allende ,1942-08-02
Meg Rosoff ,1956-10-16
Charlaine Harris ,1951-11-25
Nely Cab ,none
Alexander Gordon Smith ,1979-02-27
Non Nomen ,none
Richard Belzer,1944-08-04
Sandy Klein Bernstein ,none
Taylor Ann Bunker ,none
Michael Lewis,1960-10-15
Nikki Moyes ,none
Charles Dickens,1812-02-07
Aristophanes,none
Graham Greene,1904-10-02
Sharon Creech,1945-07-29
Jasmine Warga ,none
Paul Harbridge ,none
Lisa Jewell ,1968-07-19
Eric S. Nylund ,1964-11-12
Seneca,none
Philip Reeve ,none
Simon Beckett,1960-04-20
Kasie West ,none
Dan Simmons,1948-04-04
Louis Sachar ,1954-03-20
Colleen Hoover ,1979-12-11
Pawan Mishra ,none
Thomas Mann,1875-06-06
Haruki Murakami,1949-01-12
Jeremy Forsyth ,none
Zoltan Andrejkovics ,none
James Jones,none
Amelia Hutchins ,none
George MacDonald Fraser,none
Eiichiro Oda,1975-01-01
Tony DiTerlizzi ,1969-09-06
Holly Goldberg Sloan ,none
Truddi Chase,none
Aprilynne Pike,none
Richard Powers,1957-06-18
Nathaniel Philbrick ,1956-06-11
Abigail Gibbs ,none
Mimi Jean Pamfiloff ,none
Gillian Flynn ,1971-02-24
John Steakley,1951-07-26
Kylie Scott ,none
Jeaniene Frost ,1974-06-13
Raymond Carver,1938-05-25
Lorenzo Carcaterra,1954-10-16
Ludwig Wittgenstein,1889-04-26
Francine Rivers ,none
Gene Luen Yang ,1973-08-09
Rachel Joyce,none
Barack Obama,1961-08-04
Susan Elizabeth Phillips ,1944-12-11
Kathi Appelt ,none
Patricia H. Graham ,none
Gene Stratton-Porter,1863-08-17
Sam B. Miller II ,none
David James Duncan,none
Anthony Hope,1863-02-09
Donald Ray Pollock,1954-12-23
James Clavell,1921-10-10
John Maher,none
Nora Roberts ,1950-10-10
Elizabeth Chandler,1807-12-24
Daniel Handler ,1970-02-28
E. Nesbit,1858-08-15
Terry Brooks ,1944-01-08
Christina Schwarz ,none
Molly Harper ,none
Lev Grossman ,1969-06-26
Jennifer Estep ,none
Craig Clevenger ,none
Mary Burton ,none
Timothy Zahn ,1951-09-01
Heather Vogel Frederick,none
Ilsa J. Bick ,none
Samuel R. Delany,1942-04-01
Miranda Kenneally ,none
Arthur Conan Doyle,1859-05-22
Hermann Hesse,1877-07-02
Philip Gourevitch,none
Cat Patrick ,none
Lauren DeStefano ,1984-10-13
James O'Barr,1960-01-01
Hans Rosling,1948-07-27
John Verdon,1942-01-01
Siri Hustvedt,1955-02-19
Malika Oufkir,1953-04-02
Janette Sebring Lowrey,1892-03-02
Brian McKinley,none
Kass Morgan ,1984-07-21
Karen Joy Fowler,none
Poppy Z. Brite ,1967-05-25
Robert Graves,1895-07-24
Elena Ferrante,none
Jeffrey Eugenides,1960-03-08
